FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,LCE (%),LLCE,Method,Current (mA/cm2),Capacity (mAh/cm2),Cycle,Reference
0.146,0.823,0.177,0.993,0.038,0,0.038,0.216,0.216,0,0.263,0.263,0,82,0.745,Aurbach,0.5,1,10,13
0.156,1,0.156,1.182,0.039,0,0.039,0.252,0.252,0,0.252,0.252,0,83.3,0.777,Aurbach,0.4,0.8,10,1
0.081,0.939,0.087,1.071,0.022,0,0.022,0.256,0.221,0.035,0.272,0.255,0.017,88.1,0.924,Aurbach,0.5,1,10,7
0.079,0.985,0.08,1.113,0.022,0,0.022,0.274,0.24,0.034,0.279,0.261,0.017,91.6,1.076,Aurbach,0.5,1,10,7
0.077,1.033,0.074,1.157,0.022,0,0.022,0.295,0.261,0.034,0.286,0.269,0.017,91.7,1.081,Aurbach,0.5,1,10,7
0.046,0.901,0.051,1.017,0.013,0,0.013,0.244,0.219,0.025,0.271,0.271,0,93,1.155,Aurbach,0.5,1,10,Fig.S1
0.066,1.025,0.065,1.125,0.017,0,0.017,0.265,0.253,0.012,0.259,0.253,0.005,93.6,1.194,Aurbach,0.4,0.8,10,1
0.026,1.047,0.025,1.107,0.007,0,0.007,0.269,0.257,0.012,0.257,0.257,0,94.5,1.26,Aurbach,0.4,0.8,10,1
0.344,0.758,0.454,1.274,0.078,0,0.078,0.171,0.093,0.078,0.226,0.187,0.039,94.6,1.268,Aurbach,0.5,1,10,17
0.147,0.785,0.187,0.959,0.04,0,0.04,0.213,0.211,0.002,0.271,0.271,0,95.2,1.319,Aurbach,0.5,1,10,14
1.229,0.669,1.835,2.153,0.27,0.251,0.019,0.147,0.11,0.037,0.22,0.22,0,95.4,1.337,Aurbach,0.5,1,10,44
0.404,0.702,0.576,1.309,0.089,0,0.089,0.155,0.095,0.059,0.22,0.191,0.03,95.7,1.367,Aurbach,0.5,1,10,17
1.01,0.778,1.299,1.939,0.24,0.216,0.024,0.185,0.137,0.048,0.238,0.238,0,96.8,1.495,Aurbach,0.5,1,10,44
0.052,0.604,0.086,0.734,0.012,0,0.012,0.142,0.117,0.024,0.235,0.235,0,97.25,1.561,Aurbach,0.5,1,10,5
