ID,Name,Formula,IUPAC,SMILES,Type,MW (g/mol),Density (g/mL),Molarity (mol/L),Source,Notes,ELE_H,ELE_Li,ELE_B,ELE_C,ELE_N,ELE_O,ELE_F,ElE_AI,ELE_Si,ELE_P,ELE_S,ELE_Cl,ElE_As,ELE_Rb,ELE_Cs,ELE_Sn
3,Al2O3,Al2O3,Aluminum Oxide,[Al+3].[Al+3].[O-2].[O-2].[O-2],additive,101.96,3.984,,Database,,,,,,,3,,2,,,,,,,,
4,C1,CH4,Methane,C,additive,16.043,0.657,,https://en.wikipedia.org/wiki/Methane,gas density at 25 C,4,,,1,,,,,,,,,,,,
5,C2,C2H6,Ethane,CC,additive,30.07,1.3562,,https://en.wikipedia.org/wiki/Ethane,gas density at 0 C,6,,,2,,,,,,,,,,,,
6,C3,C3H8,Propane,CCC,additive,44.097,2.01,,https://en.wikipedia.org/wiki/Propane,gas density at 0 C,8,,,3,,,,,,,,,,,,
7,CsNO3,CsNO3,cesium nitrate,[Cs+].[O-][N+]([O-])=O,salt,194.91,3.685,,https://en.wikipedia.org/wiki/Caesium_nitrate,IUPAC guess,,,,,1,3,,,,,,,,,1,
50,DTD,C2H2O3S,"1,3,2-dioxathiolane 2,2-dioxide",C1COS(=O)(=O)O1,additive,124.12,,,Wikipedia,,2,,,2,,3,,,,,1,,,,,
12,E1,,,,additive,,,,Database,,,,,,,,,,,,,,,,,
52,Li2O,Li2O4,Lithium oxide,[Li+].[Li+].[O-2],additive,29.88,2.013,,Wikipedia,,,2,,,,4,,,,,,,,,,
40,P2O5,P2O5,,O=P13OP2(=O)OP(=O)(O1)OP(=O)(O2)O3,additive,283.9,2.39,,,,,,,,,5,,,,2,,,,,,
,RbNO3,RbNO3,,[Rb+].[N+](=O)([O-])[O-],salt,,,,,,,,,,1,3,,,,,,,,1,,
32,S1,S,Sulfur,S,additive,32.06,2.07,,https://en.wikipedia.org/wiki/Sulfur,Density for alpha,,,,,,,,,,,1,,,,,
33,S2,S2,,[S-2],additive,32.06,,,chemical_names_to_SMILES.csv,,,,,,,,,,,,1,,,,,
34,S3,S3,,[S-3],additive,32.06,,,chemical_names_to_SMILES.csv,,,,,,,,,,,,1,,,,,
35,SN,Sn,Tin,Sn,additive,118.71,0.985,,https://pubchem.ncbi.nlm.nih.gov/compound/Tin-powder,,,,,,,,,,,,,,,,,1
53,TFMB,C14H10F6N2,"2,2'-Bis(trifluoromethyl)benzidine",,additive,320.24,,,https://lumtec.com.tw/products-view.php?ID=3609,,10,,,14,2,,6,,,,,,,,,
16,L1,Li,Lithium,Li,salt,6.997,0.534,,https://en.wikipedia.org/wiki/Lithium,,,1,,,,,,,,,,,,,,
17,Li2S,Li2S,Lithium sulfide,[Li+].[Li+].[S-2],salt,45.95,1.67,,Wikipedia,,,2,,,,,,,,,1,,,,,
,Li2S5,Li2S5,,[Li+][S-]SSS[S-][Li+],salt,,,,,,,2,,,,,,,,,5,,,,,
18,LiAlO2,LiAlO2,Lithium aluminate,[Li+].[O-][Al]=O,salt,65.92,2.615,,Wikipedia,,,1,,,,2,,1,,,,,,,,
,LiAsF6,LiAsF6,,[Li+].F[As-](F)(F)(F)(F)F,salt,,,,,,,1,,,,,6,,,,,,1,,1,
,LiBETI,C4F10LiNO4S2,,[Li+].C1=CN=CN1.C(C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(C(F)(F)F)(F)F)(F)(F)F,salt,,,,,,,1,1,4,1,4,10,,,,2,,,,,
19,LiBF4,LiBF4,,[LI+].F[B-](F)(F)(F),salt,97,,,,,,1,1,,,,4,,,,,,,,,
20,LiBOB,LiBC4O8,,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,salt,194,,,,,,1,1,4,,8,,,,,,,,,,
28,LiClO4,LiClO4,Lithium perchlorate,[Li+].[O-]Cl(=O)(=O)=O,salt,106.39,2.42,,,,,1,,,,4,,,,,,1,,,,
41,LiDFOB,LiBF2(C2O4),,[Li+].[B-]1(OC(=O)C(=O)O1)(F)F,salt,143.77,,,https://www.sigmaaldrich.com/US/en/product/aldrich/774138,,,1,1,2,,4,2,,,,,,,,,
,LiDFP,,,[Li+].[O-]P(=O)(F)F,salt,,,,,,,1,,,,2,2,,,1,,,,,,
,LiFNFSI,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,salt,,,,,,,1,,3,1,4,10,,,,2,,,,,
21,LiFSI,F2LiNO4S2,Lithium bis(trifluoromethylsulfonyl)azanide,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,salt,187,,,https://www.sigmaaldrich.com/US/en/product/aldrich/793884,,,1,,,1,4,2,,,,2,,,,,
22,LiNO3,LiNO3,,[Li+].[N+](=O)([O-])[O-],salt,68.946,2.38,,"https://en.wikipedia.org/wiki/Lithium_nitrate#:~:text=Lithium%20nitrate%20is%20an%20inorganic,interest%20for%20heat%20transfer%20fluids.",,,1,,,1,3,,,,,,,,,,
23,LiPF6,LiPF6,,[Li+].F[P-](F)(F)(F)(F)F,salt,152,,,,,,1,,,,,6,,,1,,,,,,
24,LiPO2F2,LiPO2F2,,[Li+].FP(F)(=O)([O-]),salt,107.91,,,,,,1,,,,2,2,,,1,,,,,,
25,LiTDI,C6F3LiN4,,C(#N)c1nc([n-]c1C#N)C(F)(F)F.[Li+],salt,192.03,,,,,,1,,6,4,,3,,,,,,,,,
26,LiTf,CF3SO3Li,,,salt,156.01,,,https://www.sigmaaldrich.com/US/en/product/aldrich/282669,,,1,,1,,3,3,,,,1,,,,,
,LiTFPFB,LiTFPFB,,[LI+].F[B-](F)(F)OC(C(F)(F)(F))(C(F)(F)(F))C(F)(F)(F),salt,,,,,,,1,1,3,,1,12,,,,,,,,,
27,LiTFSI,LiTFSI,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,salt,287.09,,,http://www.chembase.cn/molecule-297249.html,,,1,,2,1,4,6,,,,2,,,,,
,TMS-FNFSI, ((CH3)3Si-N[(FSO2)(C4F9SO2)]),,CSi(C)(C)([N+]).C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,salt,439.357,,,,,9,,,7,,4,10,,1,,2,,,,,
67,12-crown-4,C8H16O4,"1,4,7,10-Tetraoxacyclododecane",O1CCOCCOCCOCC1,solvent,176.208,1.09,6.185871243,Wikipedia,,16,,,8,,4,,,,,,,,,,
68,18-crown-6,C12H24O6,"1,4,7,10,13,16-Hexaoxacyclooctadecane",O1CCOCCOCCOCCOCCOCC1,solvent,264.312,1.24,4.691425285,https://en.wikipedia.org/wiki/18-Crown-6,,24,,,12,,6,,,,,,,,,,
45,AN,CH3CN,,CC#N,solvent,41.054,0.786,19.14551566,,,3,,,2,1,,,,,,,,,,,
55,BTC,C3Cl6O3,Bis(trichloromethyl) carbonate,,solvent,226.07,1.51,,,,0,,,3,,3,,,,,,6,,,,
44,BTFE,CF3CH2)2O,,C(C(F)(F)F)OCC(F)(F)F,solvent,182.072,1.404,7.711235116,,,4,,,4,,1,6,,,,,,,,,
43,BTFEC,C5H4F6O3,,C(C(F)(F)F)OC(=O)OCC(F)(F)F,solvent,226.082,1.51,6.678992578,,,4,,,5,,3,6,,,,,,,,,
69,D2,C4H3F7O1,,C(C(F)(F)F)OC(C(F)F)(F)F,solvent,200.064,1.487,7.432621561,,,3,,,4,,1,7,,,,,,,,,
,DCM,CCl2H2,,ClCCl,solvent,84.932,1.33,15.65958649,,,2,,,1,,,,,2,,,,,,,
8,DEC,C5H10O3,,O=C(OCC)OCC,solvent,118.13,0.975,8.253618894,,,10,,,5,,3,,,,,,,,,,
,DEG-FTriEG,,,COCCOCCOCC(F)(F)OC(F)(F)OC(F)(F)COCCOCCOC,solvent,498.368,1.21,2.427924746,,,26,,,16,,8,8,,,,,,,,,
64,DFB,,,,solvent,114.09,1.158,,,,,,,,,,,,,,,,,,,
,Diethoxyethane,C6H14O2,,CCOC(C)OCC,solvent,118.172,0.842,7.125207325,,,14,,,6,,2,,,,,,,,,,
,Diethyl ether,C4H10O1,Ethoxyethane,CCOCC,solvent,74.12,0.7134,9.624932542,,,10,,,4,,1,,,,,,,,,,
9,diglyme,C6H14O3,1-Methoxy-2-(2-methoxyethoxy)ethane,COCCOCCOC,solvent,134.175,0.937,,Database,,14,,,6,,8,,,,,,,,,,
,dioxane,C5H10O2,"1,4-Dioxolane",O1CCOCC1,solvent,102.13,1.06,10.37892882,,,10,,,5,,2,,,,,,,,,,
,DMB,C6H14O2,,COC(C)C(C)OC,solvent,118.172,0.856,7.243678706,,,14,,,6,,2,0,,,,,,,,,
10,DMC,C3H6O3,,COC(=O)OC,solvent,90.078,1.07,11.87859411,,,6,,,3,,3,,,,,,,,,,
56,DMDMOS,C4H12O2Si,dimethoxy(dimethyl)silane,CO[Si](C)(C)OC,solvent,120.22,0.88,,,,12,,,4,,2,,,1,,,,,,,
1,DME,C4H10O2,"1,2-Dimethoxyethane",COCCOC,solvent,90.12,0.868,9.631602308,Database,,10,,,4,,2,,,,,,,,,,
,DMeTHF,C6H12O,,CC1CCC(C)O1,solvent,100.156,0.833,8.31702544,,,12,,,6,,1,,,,,,,,,,
,DMSO,C2H6OS,,CS(=O)C,solvent,78.133,1.1,14.07855836,,,6,,,2,,1,,,,,1,,,,,
2,DOL,C3H6O2,"1,3-Dioxolane",O1CCOC1,solvent,74.078,1.06,14.30924161,Database,,6,,,3,,2,,,,,,,,,,
11,DTO,C2H4O3S,,O=S1OCCO1,solvent,108.12,1.426,,https://www.sigmaaldrich.com/US/en/product/aldrich/g7208,,4,,,2,,3,,,,,1,,,,,
,EA,C4H8O2,,O=C(OCC)C,solvent,88.104,0.902,10.23790066,,,8,,,4,,2,,,,,,,,,,
13,EC,C3H4O3,,C1COC(=O)O1,solvent,88.062,1.32,14.98943926,https://en.wikipedia.org/wiki/Ethylene_carbonate,,4,,,3,,3,,,,,,,,,,
,EGD,C6H10O4,,CC(=O)OCCOC(C)=O,solvent,146.14,1.104,7.554399891,,,10,,,6,,4,,,,,,,,,,
14,EMC,C4H8O3,,CCOC(=O)OC,solvent,104.104,1.006,9.66341351,,,8,,,4,,3,,,,,,,,,,
,ES,C2H4S,,C1COS(=O)O1,solvent,60.117,1.01,16.80057222,,,4,,,2,,,,,,,1,,,,,
,ETFEC,C5H7F3O3,,O=C(OCC)OCC(F)(F)F,solvent,172.106,1.253,7.280396965,,,7,,,5,,3,3,,,,,,,,,
,F3DEE,C6H11O2F3,,FC(F)(F)COCCOCC,solvent,172.148,1.07,6.215581941,,,11,,,6,,2,3,,,,,,,,,
,F4DEE,C6H10O2F4,,FC(F)COCCOCC(F)(F),solvent,190.14,1.24,6.521510466,,,10,,,6,,2,4,,,,,,,,,
,F5DEE,C6H9O2F5,,FC(F)COCCOCC(F)(F)(F),solvent,208.132,1.29,6.197989737,,,9,,,6,,2,5,,,,,,,,,
,F6DEE,C6H8O2F6,,FC(F)(F)COCCOCC(F)(F)(F),solvent,226.124,1.4,6.191293273,,,8,,,6,,2,6,,,,,,,,,
,FB,C6H5F,,FC1CCCCC1,solvent,96.1,1.02,10.61394381,,,5,,,6,,,1,,,,,,,,,
,FDMA,C4H6F3NO,,CN(C)C(=O)C(F)(F)F,solvent,141.098,1.26,8.929963571,,,6,,,4,1,1,3,,,,,,,,,
,FDMB,C6H10F4O2,,COCC(F)(F)C(F)(F)COC,solvent,190.14,1.21,6.363731987,,,10,,,6,,2,4,,,,,,,,,
,FDMH,,,COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC,solvent,290.16,1.3,4.480286738,,,10,,,8,,2,8,,,,,,,,,
15,FEC,C3H3FO3,,C1C(OC(=O)O1)F,solvent,106.054,1.454,13.70999679,,,3,,,3,,3,1,,,,,,,,,
,FEMC,C4H5F3O3,,COC(=O)OCCF,solvent,158.08,1.3,8.223684211,,,5,,,4,,3,3,,,,,,,,,
,FM,CH3F,,FC,solvent,34.034,0.557,16.36598695,,,3,,,1,,0,1,,,,,,,,,
,FSA,,,CN(C)S(=O)(=O)F,solvent,127.143,1.48,11.64043636,,,6,,,2,1,2,1,,,,1,,,,,
,GBL,C4H6O2,,O=C1OCCC1,solvent,86.088,1.1296,13.12145711,,,6,,,4,,2,,,,,,,,,,
,HFME,C4H4F6O,,COC(C(F)(F)F)C(F)(F)F,solvent,182.072,1.38,7.579419131,,,4,,,4,,1,6,,,,,,,,,
65,MDFA,MDFA,,,solvent,110.06,1.26,,,,,,,,,,,,,,,,,,,
66,MDFSA,MDFSA,,,solvent,192.11,1.509,,,,,,,,,,,,,,,,,,,
,MTFP,C4H5F3O2,,COC(=O)CC(F)(F)F,solvent,142.08,1.241,8.734515766,,,5,,,4,,2,3,,,,,,,,,
,MTHF,C5H10O,,O1C(C)CCC1,solvent,86.13,0.854,9.915244398,,,10,,,5,,1,,,,,,,,,,
30,PC,C4H6O3,,CC1COC(=O)O1,solvent,102.088,1.2,11.75456469,Database,,6,,,4,,3,,,,,,,,,,
31,PS,(C8H8)x,Polystyrene,C(=C)C1=CC=CC=C1,solvent,101,1.39,,https://commonchemistry.cas.org/detail?cas_rn=9003-53-6,MW for monomer; IUPAC guess,8,,,8,,,,,,,,,,,,
,SL,C4H8O2S,,O=S1(=O)CCCC1,solvent,120.169,1.261,10.49355491,,,8,,,4,,2,,,,,1,,,,,
36,Sulfolane,C4H8O2S,,,solvent,120.17,1.26,,,,8,,,4,,2,,,,,1,,,,,
,TEP,C6H15O4P,,CCOP(=O)(OCC)OCC,solvent,182.153,1.072,5.885162473,,,15,,,6,,4,,,,1,,,,,,
,Tetraglyme,Tetraglyme,,COCCOCCOCCOCCOC,solvent,222.276,1.009,4.539401465,,,22,,,10,,5,,,,,,,,,,
,TFEB,C6H6BF9O3,,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,solvent,307.919,1.43,4.644078475,,,6,,,6,,3,9,,1,,,,,,,
,TFEC,C5H4F6O3,,C(C(F)(F)F)OC(=O)OCC(F)(F)F,solvent,226.082,1.51,6.678992578,,,4,,,5,,3,6,,,,,,,,,
42,TFEO,C7H7F9O3,,FC(COC(OCC(F)(F)F)OCC(F)(F)F)(F)F,solvent,310.126,1.457,4.698090454,,,7,,,7,,3,9,,,,,,,,,
